key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,,,trials.thisRepN,trials.intensity,,,key_resp.corr,,trials.thisRepN,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,up,0.005,db,0.05090026,0.0012013,217.2277232,217.2277232,217.5274038,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,74,0.05090026,,1,0,in,74,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,up,0.005,db,0.05090026,0.0012338,219.6588303,219.6588303,219.9584053,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,75,0.05090026,,,1,cor,75,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,up,0.005,db,0.050929569,0.0011947,222.1065966,222.1065966,222.4060799,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,76,0.050929569,,1,0,in,76,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,up,0.005,db,0.050929569,0.0011337,224.5209774,224.5209774,224.8205581,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,77,0.050929569,,,1,cor,77,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,up,0.005,db,0.050958895,0.0011886,227.035252,227.035252,227.3348434,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,78,0.050958895,,1,0,in,78,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,up,0.005,db,0.050958895,0.0011721,229.4330469,229.4330469,229.7325882,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,79,0.050958895,,,1,cor,79,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,0.005,db,0.050988238,0.0012569,231.8641051,231.8641051,232.1637066,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,80,0.050988238,,,0,in,80,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,0.005,db,0.051017598,0.0011476,234.2451571,234.2451571,234.5449655,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,81,0.051017598,,2,0,in,81,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,0.005,db,0.051017598,0.0010928,236.6262481,236.6262481,236.9257913,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,82,0.051017598,,,1,cor,82,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,up,0.005,db,0.051017598,0.0012126,239.0906936,239.0906936,239.3902061,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,83,0.051017598,,,1,cor,83,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,up,0.005,db,0.051046974,0.0011184,241.4884476,241.4884476,241.7881231,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,84,0.051046974,,,0,in,84,,15,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,up,0.005,db,0.051076368,0.0011479,243.8861818,243.8861818,244.1858046,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,85,0.051076368,,2,0,in,85,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,0.005,db,0.051076368,0.0011219,246.3673024,246.3673024,246.6667301,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,86,0.051076368,,,1,cor,86,,,,,,
