trials.thisN,num_distr,mouse.time,mouse.clicked_name,,,,,
53,10,1.686916,['target'],,,,,
54,10,1.6475926,['target'],,,,,
55,10,1.9880786,['target'],,,,,
60,10,1.2282545,['target'],,,,,
61,10,1.9184885,['target'],,,,,
62,10,1.4671676,['target'],,,,,
63,10,1.4056418,['target'],,,,,
65,10,1.4824731,['target'],,,,,
67,10,0.9741059,['target'],,,,,
68,10,2.1321388,['target'],,,,,
69,10,1.3301745,['target'],,,,,
70,10,0.977249,['target'],,,,,
73,10,1.1435771,['target'],,,,,
74,10,1.4929447,['target'],,,,,
75,10,1.2982637,['target'],,,,,
76,10,1.2953706,['target'],,,,,
77,10,1.1319814,['target'],,,,,
81,10,1.2439127,['target'],,,,,
82,10,1.3321551,['target'],,,,,
85,10,1.1319894,['target'],,,,,
88,10,1.0878247,['target'],,,,,
89,10,0.9615634,['target'],,,,,
90,10,1.1730004,['target'],,,,,
91,10,1.1190868,['target'],,,,,
93,10,1.0700327,['target'],,,,,
95,10,1.2137251,['target'],,,,,
96,10,1.4597277,['target'],,,,,
98,10,1.027311,['target'],,,,,
99,10,1.3363308,['target'],,,,,
100,10,1.1292856,['target'],,,,,
101,10,1.3123706,['target'],,,,,
104,10,1.5090975,['target'],,,,,
105,10,1.1743535,['target'],,,,,
106,10,1.1607244,['target'],,,,,
109,10,1.1717967,['target'],,,,,
112,10,1.0900073,['target'],,,,,
113,10,1.2841699,['target'],,,,,
114,10,1.127109,['target'],,,,,
116,10,1.3118854,['target'],,,,,
120,10,1.1067587,['target'],,,,,
125,10,0.9226128,['target'],,,,,
128,10,1.3541885,['target'],,,,,
129,10,1.2706891,['target'],,,,,
130,10,1.790942,['target'],,,,,
131,10,1.2294648,['target'],,,,,
133,10,1.7983203,['target'],,,,,
135,10,0.8544548,['target'],,,,,
137,10,1.5773626,['target'],,,,,
138,10,1.8669948,['target'],,,,,
142,10,1.4331513,['target'],,,,,
143,10,0.996346,['target'],,,,,
144,10,0.9658669,['target'],,,,,
145,10,0.9865206,['target'],,,,,
